Tâche
Sortir les poubelles le soir devant la grille
Préparer le café du midi
Passer l’aspirateur après le repas dans la cuisine
Faire les courses
Préparer le petit-déjeuner
Préparer le déjeuner
Préparer le dîner
Rentrer les poubelles le matin
